phi_B,Fmax
0.0,0.3233082615500806
0.1308996938995747,0.32330826155008224
0.2617993877991494,0.32330826155008047
0.39269908169872414,0.32330826155008074
0.5235987755982988,0.3233082615500825
0.6544984694978735,0.32330826155008197
0.7853981633974483,0.32330826155008374
0.916297857297023,0.32330826155008413
1.0471975511965976,0.32330826155008197
1.1780972450961724,0.32330826155008185
1.308996938995747,0.32330826155008136
1.4398966328953218,0.32330826155007947
1.5707963267948966,0.32330826155008274
1.7016960206944711,0.32330826155008036
1.832595714594046,0.32330826155008086
1.9634954084936205,0.32330826155008086
2.0943951023931953,0.32330826155008136
2.22529479629277,0.3233082615500806
2.356194490192345,0.32330826155008174
2.4870941840919194,0.32330826155008074
2.617993877991494,0.32330826155008136
2.748893571891069,0.32330826155008136
2.8797932657906435,0.32330826155008124
3.010692959690218,0.32330826155007997
3.141592653589793,0.3233082615500806
