Delta,z_up,z_dn
-1.6,0.8037734506067885,0.51362286129272
-1.5,0.5814141699134675,0.4903994090264495
-1.4000000000000001,0.40833330765718123,0.4656554064472101
-1.3,0.44737483195281597,0.4395659182112607
-1.2000000000000002,0.44348408044789916,0.412138427225139
-1.1,0.3747495230423958,0.3831677468685763
-1.0,0.33357867359628796,0.352846045830097
-0.9,0.3152699255574275,0.3215224630128335
-0.8,0.2903095168996798,0.2891243929719538
-0.7000000000000001,0.25440066596540656,0.25522972736939875
-0.6000000000000001,0.21559795733163992,0.21955989911789214
-0.5,0.17881668996966377,0.1822735409368034
-0.3999999999999999,0.14403572132227624,0.14389597203602839
-0.30000000000000004,0.10954335705428467,0.10507954899763614
-0.19999999999999996,0.07412713048209713,0.06639872259093262
-0.10000000000000009,0.03750276651374031,0.02825346442081575
0.0,-4.568075101927887e-05,-0.00913807465900254
0.10000000000000009,-0.0380741641962624,-0.045701884739342634
0.19999999999999996,-0.07619324998921065,-0.08145931606434946
0.30000000000000004,-0.11411406062810213,-0.11648450866046058
0.3999999999999999,-0.15161454072022826,-0.15087340699423807
0.5,-0.18849648064129246,-0.18472218439345542
0.6000000000000001,-0.22457103318481822,-0.21810638039013855
0.7000000000000002,-0.259679263222098,-0.2510471583600342
0.8000000000000003,-0.29372350145734427,-0.283461800936781
0.8999999999999999,-0.3266672059876506,-0.3151523042538717
1.0,-0.35848541257251376,-0.3459771261390224
1.1,-0.3891150920434599,-0.37623134550592513
1.2000000000000002,-0.41847577390828217,-0.4064819860563759
1.3000000000000003,-0.44652261587137937,-0.43571638940269924
1.4,-0.47322497608764297,-0.46106748248680657
1.5,-0.49853193457709816,-0.48561548590864023
1.6,-0.5224143256475587,-0.512771513477064
