time_OmegaUnits,F_phi
0.0,0.4999999999999999
0.01,0.4999500016664011
0.02,0.4998000266558381
0.03,0.4995501349118192
0.04,0.4992004262727149
0.05,0.4987510403976493
0.06,0.49820215667731277
0.07,0.49755399412978984
0.08,0.4968068112815158
0.09,0.49596090603346
0.1,0.49501661551266013
0.11,0.4939743159092173
0.12,0.49283442229887103
0.13,0.49159738845128426
0.14,0.49026370662415664
0.15,0.4888339073433057
0.16,0.48730855916884
0.17,0.485688268447569
0.18,0.4839736790517874
0.19,0.4821654721045715
0.2,0.48026436569174613
0.21,0.47827111456065835
0.22,0.47618650980592053
0.23,0.47401137854227043
0.24,0.4717465835647134
0.25,0.4693930229961019
0.26,0.46695162992232
0.27,0.46442337201523837
0.28,0.46180925114361004
0.29,0.4591103029720748
0.3,0.4563275965484548
0.31,0.45346223387951284
0.32,0.45051534949535277
0.33,0.44748811000265004
0.34,0.4443817136268933
0.35000000000000003,0.4411973897438221
0.36,0.43793639840026044
0.37,0.4346000298245272
0.38,0.43118960392662425
0.39,0.4277064697884006
0.4,0.4241520051438885
0.41000000000000003,0.4205276158500144
0.42,0.4168347353478911
0.43,0.4130748241148953
0.44,0.4092493691077353
0.45,0.4053598831967318
0.46,0.4014079045915064
0.47000000000000003,0.3973949962583103
0.48,0.3933227453292003
0.49,0.38919276250327933
0.5,0.38500668144023115
0.51,0.3807661581463639
0.52,0.37647287035339183
0.53,0.3721285168901793
0.54,0.3677348170476749
0.55,0.3632935099372716
0.56,0.3588063538428151
0.5700000000000001,0.3542751255665024
0.58,0.34970161976890135
0.59,0.3450876483033283
0.6,0.3404350395448243
0.61,0.33574563771396515
0.62,0.3310213021957513
0.63,0.3262639068538156
0.64,0.3214753393401963
0.65,0.31665750040091584
0.66,0.3118123031776176
0.67,0.30694167250549886
0.68,0.30204754420779856
0.6900000000000001,0.29713186438707906
0.7000000000000001,0.2921965887135594
0.71,0.2872436817107459
0.72,0.2822751160386132
0.73,0.27729287177459044
0.74,0.2722989356925995
0.75,0.267295300540403
0.76,0.26228396431551626
0.77,0.2572669295399324
0.78,0.2522462025339204
0.79,0.24722379268914474
0.8,0.24220171174136776
0.81,0.23718197304298175
0.8200000000000001,0.23216659083563096
0.8300000000000001,0.22715757952317517
0.84,0.2221569529452477
0.85,0.21716672365166267
0.86,0.2121889021779253
0.87,0.20722549632209483
0.88,0.2022785104232534
0.89,0.19734994464183273
0.9,0.19244179424204594
0.91,0.1875560488766767
0.92,0.1826946918744705
0.93,0.17785969953037628
