time_OmegaUnits,F_phi
0.0,0.4999999999999999
0.004,0.4999920000426664
0.008,0.4999680006826607
0.012,0.49992800345593413
0.016,0.4998720109222953
0.02,0.49980002666524936
0.024,0.4997120552917666
0.028,0.4996081024319895
0.032,0.49948817473887436
0.036000000000000004,0.4993522798877635
0.04,0.499200426575898
0.044,0.4990326245218604
0.048,0.49884888446495346
0.052000000000000005,0.49864921816451596
0.056,0.49843363839916943
0.06,0.4982021589660006
0.064,0.49795479467968273
0.068,0.49769156137152426
0.07200000000000001,0.49741247588846016
0.076,0.4971175560919715
0.08,0.4968068208569455
0.084,0.49648029007046607
0.088,0.49613798463054304
0.092,0.49577992644477353
0.096,0.4954061384289408
0.1,0.49501664450554744
0.10400000000000001,0.49461146960228386
0.108,0.49419063965043203
0.112,0.4937541815832046
0.116,0.4933021233340219
0.12,0.49283449383472133
0.124,0.49235132301370377
0.128,0.49185264179401733
0.132,0.4913384820913749
0.136,0.4908088768121101
0.14,0.49026385985106663
0.14400000000000002,0.48970346608942694
0.148,0.4891277313924759
0.152,0.4885366926073004
0.156,0.48793038756042817
0.16,0.4873088550553996
0.164,0.48667213487028105
0.168,0.4860202677551123
0.17200000000000001,0.48535329542929206
0.176,0.48467126057890086
0.18,0.48397420685396325
0.184,0.4832621788656452
0.188,0.4825352221833905
0.192,0.4817933833319969
0.196,0.48103670978862784
0.2,0.48026524997976494
0.20400000000000001,0.4794790532780983
0.20800000000000002,0.4786781699993559
0.212,0.4778626513990704
0.216,0.47703254966928926
0.22,0.47618791793522053
0.224,0.4753288102518196
0.228,0.47445528160031686
0.232,0.47356738788468333
0.23600000000000002,0.4726651859280402
0.24,0.47174873346900414
0.244,0.47081808915797724
0.248,0.4698733125533782
0.252,0.4689144641178106
0.256,0.4679416052141784
0.26,0.4669547981017377
0.264,0.46595410593209563
0.268,0.46493959274514823
0.272,0.4639113234649606
0.276,0.4628693638955936
0.28,0.4618137807168699
0.28400000000000003,0.46074464148008243
0.28800000000000003,0.45966201460365363
0.292,0.4585659693687294
0.296,0.4574565759147233
0.3,0.4563339052348042
0.304,0.4551980291713273
0.308,0.45404902041121026
0.312,0.4528869524812576
0.316,0.45171189974342707
0.32,0.450523937390045
0.324,0.4493231414389659
0.328,0.4481095887286791
0.332,0.4468833569133662
0.336,0.44564452445789726
0.34,0.4443931706327849
0.34400000000000003,0.4431293755090787
0.34800000000000003,0.44185321995321153
0.352,0.4405647856217928
0.356,0.43926415495635385
0.36,0.4379514111780382
0.364,0.43662663828224524
0.368,0.4352899210332222
0.372,0.4339413449586066
0.376,0.43258099634392155
0.38,0.4312089622270188
0.384,0.42982533039247717
0.388,0.4284301893659488
0.392,0.4270236284084616
0.396,0.4256057375106729
0.4,0.4241766073870754
0.404,0.42273632947015716
0.40800000000000003,0.4212849959045169
0.41200000000000003,0.41982269954093177
0.41600000000000004,0.4183495339303803
0.42,0.4168655933180207
0.424,0.4153709726371254
0.428,0.4138657675029702
0.432,0.4123500742066806
0.436,0.41082398970903494
0.44,0.4092876116342244
0.444,0.4077410382635713
0.448,0.40618436852920514
0.452,0.4046177020076958
0.456,0.40304113891364884
0.46,0.401454780093257
0.464,0.39985872701781355
0.468,0.39825308177718627
0.47200000000000003,0.3966379470732486
0.47600000000000003,0.39501342621327723
0.48,0.3933796231033081
0.484,0.39173664224145444
0.488,0.3900845887111885
0.492,0.38842356817458695
0.496,0.38675368686553835
0.5,0.3850750515829139
0.504,0.3833877696837063
0.508,0.38169194907612924
0.512,0.3799876982126858
0.516,0.3782751260831997
0.52,0.3765543422078159
0.524,0.3748254566299665
0.528,0.3730885799093033
0.532,0.3713438231146017
0.536,0.3695912978166268
0.54,0.3678311160809754
0.544,0.36606339046088304
0.548,0.3642882339900009
0.552,0.36250576017514685
0.556,0.360716082989021
0.56,0.3589193168629001
0.5640000000000001,0.35711557667929783
0.5680000000000001,0.355304977764601
0.5720000000000001,0.35348763588167725
0.5760000000000001,0.3516636672224564
0.58,0.3498331884004868
0.584,0.34799631644346446
0.588,0.3461531687857385
0.592,0.3443038632607924
0.596,0.3424485180937004
0.6,0.3405872518935605
0.604,0.33872018364590584
0.608,0.33684743270509315
0.612,0.33496911878666835
0.616,0.333085361959713
0.62,0.33119628263916834
0.624,0.3293020015781396
0.628,0.32740263986018237
0.632,0.32549831889156633
