Delta,R
-1.4,0.01194878337750237
-1.2727272727272727,0.01685573945735279
-1.1454545454545455,0.00045174523555825756
-1.018181818181818,0.10384546786931512
-0.8909090909090909,0.03201168206926138
-0.7636363636363637,0.05738602030835818
-0.6363636363636364,0.15086749741116973
-0.509090909090909,0.3039051355169178
-0.38181818181818183,0.3033512854212205
-0.25454545454545463,0.39254934071650066
-0.12727272727272743,0.5460554638298442
0.0,0.6341393079048837
0.1272727272727272,0.6166066172657473
0.2545454545454544,0.5646783321730207
0.38181818181818183,0.5276406878428195
0.509090909090909,0.4716599047972478
0.6363636363636362,0.38538001934343813
0.7636363636363637,0.31082215270695723
0.8909090909090907,0.2514431601330957
1.018181818181818,0.1935560451593015
1.145454545454545,0.11521384542465632
1.2727272727272725,0.04510933256749541
1.4,0.03808975671853989
