time_OmegaUnits,F_phi
0.0,0.4999999999999999
0.006,0.49998200021599276
0.012,0.4999280034556917
0.018000000000000002,0.49983801749338497
0.024,0.49971205528390195
0.03,0.4995501349598352
0.036000000000000004,0.49935227982801894
0.042,0.49911851836526755
0.048,0.4988488842133772
0.054,0.4985434161733921
0.06,0.49820215819913005
0.066,0.49782515938998106
0.07200000000000001,0.4974124739829682
0.078,0.4969641613440818
0.084,0.4964802859588844
0.09,0.4959609174223876
0.096,0.49540613042820786
0.10200000000000001,0.494816004756997
0.108,0.4941906252641563
0.114,0.49353008186683095
0.12,0.4928344695301898
0.126,0.4921038882529946
0.132,0.4913384430524582
0.138,0.49053824394839535
0.14400000000000002,0.4897034059466735
0.15,0.4888340490219568
0.156,0.4879302980997592
0.162,0.4869922830377947
0.168,0.4860201386066453
0.17400000000000002,0.4850140044697334
0.18,0.4839740251626143
0.186,0.4829003500715843
0.192,0.4817931334116144
0.198,0.4806525342036089
0.20400000000000001,0.47947871625099225
0.21,0.4782718481156341
0.216,0.4770321030931067
0.222,0.4757596591872908
0.228,0.4744546990843204
0.234,0.4731174101258854
0.24,0.4717479842818817
0.246,0.4703466181224251
0.252,0.4689135127892274
0.258,0.4674488739663399
0.264,0.4659529118502711
0.27,0.46442584111947954
0.276,0.46286788090325065
0.28200000000000003,0.46127925474996073
0.28800000000000003,0.4596601905947319
0.294,0.4580109207264843
0.3,0.4563316817543923
0.306,0.4546227145737456
0.312,0.4528842643312236
0.318,0.4511165803895895
0.324,0.4493199162918061
0.33,0.44749452972457987
0.336,0.44564068248134153
0.342,0.4437586404246651
0.34800000000000003,0.4418486734481334
0.354,0.43991105543765413
0.36,0.4379460642322345
0.366,0.4359539815842186
0.372,0.43393509311899336
0.378,0.43188968829417
0.384,0.42981806035824766
0.39,0.4277205063087632
0.396,0.42559732684993495
0.402,0.42344882634980746
0.40800000000000003,0.42127531279690117
0.41400000000000003,0.4190770977563755
0.42,0.41685449632571003
0.426,0.41460782708991345
0.432,0.41233741207626357
0.438,0.41004357670858366
0.444,0.40772664976106987
0.45,0.4053869633116653
0.456,0.4030248526949967
0.462,0.40064065645487595
0.468,0.3982347162963741
0.47400000000000003,0.3958073770374749
0.48,0.39335898656031676
0.486,0.3908898957620254
0.492,0.388400458505151
0.498,0.38589103156771
0.504,0.38336197459284543
0.51,0.3808136500381044
0.516,0.37824642312435297
0.522,0.3756606617843205
0.528,0.3730567366107916
0.534,0.3704350208044519
0.54,0.3677958901213872
0.546,0.3651397228202557
0.552,0.36246689960912915
0.558,0.3597778035920192
0.5640000000000001,0.35707282021509
0.5700000000000001,0.3543523372125705
0.5760000000000001,0.35161674455236874
0.582,0.3488664343814
0.588,0.34610180097063276
0.594,0.3433232406598658
0.6,0.34053115180223575
0.606,0.3377259347084717
0.612,0.334907991590899
0.618,0.332077726507202
0.624,0.3292355453039539
0.63,0.3263818555599197
0.636,0.3235170665291435
0.642,0.3206415890838255
0.648,0.3177558356569949
0.654,0.3148602201849934
0.66,0.3119551580497693
0.666,0.30904106602099546
0.672,0.30611836219801813
0.678,0.3031874659516408
0.684,0.30024879786575964
