time_OmegaUnits,F_phi
0.0,0.4999999999999999
0.01,0.49995000166657555
0.02,0.4998000266624359
0.03,0.4995501349621339
0.04,0.4992004264841322
0.05,0.4987510410402531
0.06,0.49820215826929864
0.07,0.49755399755488733
0.08,0.49680681792755826
0.09,0.4959609179512061
0.1,0.49501663559391634
0.11,0.4939743480832688
0.12,0.4928344717461856
0.13,0.4915974618334172
0.14,0.4902638123287457
0.15,0.4888340557430095
0.16,0.4873087628930441
0.17,0.48568854266565137
0.18,0.4839740417667078
0.19,0.4821659444555259
0.2,0.48026497226460396
0.21,0.4782718837048786
0.22,0.4761874739566222
0.23,0.47401257454612983
0.24,0.4717480530083271
0.25,0.46939481253546234
0.26,0.4669537916120291
0.27,0.4644259636360839
0.28,0.46181233652712284
0.29,0.4591139523206866
0.3,0.4563318867498673
0.31,0.45346724881389944
0.32,0.4505211803340187
0.33,0.44749485549677154
0.34,0.4443894803849768
0.35000000000000003,0.44120629249653154
0.36,0.4379465602512628
0.37,0.4346115824860326
0.38,0.43120268793830785
0.39,0.42772123471840384
0.4,0.4241686097706242
0.41000000000000003,0.42054622832351957
0.42,0.4168555333294843
0.43,0.4130979948939286
0.44,0.4092751096942525
0.45,0.4053884003888623
0.46,0.40143941501646807
0.47000000000000003,0.39742972638590146
0.48,0.3933609314567084
0.49,0.38923465071075725
0.5,0.3850525275151199
0.51,0.38081622747648036
0.52,0.37652743778732756
0.53,0.3721878665641952
0.54,0.3677992421782099
0.55,0.36336331257821397
0.56,0.3588818446067336
0.5700000000000001,0.35435662330906054
0.58,0.34978945123571875
0.59,0.3451821477385957
0.6,0.3405365482610111
0.61,0.335854503622002
0.62,0.33113787929510774
0.63,0.32638855468193373
0.64,0.32160842238077897
0.65,0.31679938745061315
0.66,0.3119633666706883
0.67,0.30710228779607457
0.68,0.3022180888094069
0.6900000000000001,0.2973127171691341
0.7000000000000001,0.29238812905456085
0.71,0.28744628860797206
0.72,0.2824891671741353
0.73,0.2775187425374722
0.74,0.2725369981571894
0.75,0.26754592240067054
0.76,0.262547507775411
0.77,0.2575437501598032
0.78,0.2525366480330548
0.79,0.2475282017045397
0.8,0.24252041254287549
0.81,0.2375152822050174
0.8200000000000001,0.2325148118656649
0.8300000000000001,0.22752100144727253
0.84,0.2225358488509557
0.85,0.21756134918858408
0.86,0.2125994940163516
0.87,0.2076522705701122
0.88,0.20272166100277247
0.89,0.19780964162402304
0.9,0.19291818214269885
0.91,0.18804924491205163
0.92,0.18320478417821603
0.93,0.17838674533215254
0.9400000000000001,0.17359706416534568
0.9500000000000001,0.16883766612953627
0.96,0.16411046560076264
0.97,0.15941736514798677
0.98,0.15476025480657385
0.99,0.150141011356899
1.0,0.14556149760834566
1.01,0.14102356168896243
1.02,0.13652903634103936
1.03,0.13207973822286562
1.04,0.12767746721692416
1.05,0.12332400574477982
1.06,0.11902111808891101
1.07,0.11477054972173405
1.08,0.1105740266420677
1.09,0.10643325471927884
1.1,0.10234991904534872
1.11,0.09832568329509828
1.12,0.09436218909480286
1.1300000000000001,0.09046105539942739
1.1400000000000001,0.08662387787870779
1.1500000000000001,0.08285222831230032
1.16,0.07914765399421864
1.17,0.07551167714677287
1.18,0.07194579434422181
1.19,0.06845147594634635
1.2,0.06503016554214629
1.21,0.06168327940386095
1.22,0.058412205951508
1.23,0.05521830522813204
1.24,0.05210290838594951
1.25,0.049067317183572864
1.26,0.046112803494491615
1.27,0.04324060882698472
1.28,0.040451943855633096
1.29,0.03774798796459772
1.3,0.03512988880282308
1.31,0.03259876185132193
1.32,0.030155690002692286
1.33,0.027801723153013165
1.34,0.025537877806260312
1.35,0.023365136691378924
1.36,0.021284448392145272
1.37,0.01929672698994427
1.3800000000000001,0.01740285171958495
1.3900000000000001,0.015603666638271502
1.4000000000000001,0.013899980307841587
1.41,0.012292565490379473
1.42,0.010782158857306037
1.43,0.00936946071204276
1.44,0.00805513472634176
1.45,0.006839807690368694
1.46,0.005724069276620379
1.47,0.004708471817753642
1.48,0.0037935300983968838
1.49,0.0029797211610106352
1.5,0.0022674841258580403
1.51,0.0016572200251412394
1.52,0.0011492916513541143
1.53,0.0007440234198968602
1.54,0.0004417012459925367
1.55,0.0002425724359404364
1.56,0.00014684559273598157
1.57,0.00015469053608156529
1.58,0.0002662382368075199
1.59,0.0004815807657171697
1.6,0.0008007712568646843
1.61,0.0012238238852692728
1.62,0.0017507138590639741
1.6300000000000001,0.0023813774260721754
1.6400000000000001,0.0031157118947997805
1.6500000000000001,0.003953575669825775
1.6600000000000001,0.00489478830156875
1.67,0.0059391305504019245
1.68,0.007086344465083978
1.69,0.008336133475467949
1.7,0.009688162499445468
1.71,0.01114205806407837
1.72,0.012697408440864979
